id,topic_name,word,reason,unresolved_tokens
4787c7c1-db22-4c91-a846-7d7841d98028,03 - Starting and Finishing,wind upa meeting,unresolved_tokens,upa
226f71cf-f645-4f24-88c8-63baa987c598,03 - Starting and Finishing,wind upa discussion,unresolved_tokens,upa
c947158e-c929-408c-b2fe-373c434091e1,03 - Starting and Finishing,wind upa business,unresolved_tokens,upa
8d666644-72ce-4eac-b667-c59910b80f7c,03 - Starting and Finishing,nail-biting finish,unresolved_tokens,nail-biting
0ac99195-8ae4-408b-8259-695247a49e78,05 - Cause and Effect,spark offa riot,unresolved_tokens,offa
a441b7b3-7bee-433d-8d73-913da23039e3,05 - Cause and Effect,spark offa demonstration,unresolved_tokens,offa
59e6ce96-ec03-488d-a7ee-bb9a3a83aa26,05 - Cause and Effect,have a knock-on effect,unresolved_tokens,knock-on
836d1a15-07b0-442b-ac23-cd4f15293c65,06 - Attempt,last-ditch effort,unresolved_tokens,last-ditch
a784f587-ccc6-49dc-912d-7c308d8f6cc8,06 - Attempt,a doddle,unresolved_tokens,doddle
fedd19af-41c1-4819-b466-a43bcd4e92f4,06 - Attempt,try your damnedest(to do something),unresolved_tokens,damnedest
1fb53fac-0cf6-4233-bdbd-067efc8f89fb,06 - Attempt,do your damnedest(to do something),unresolved_tokens,damnedest
abb0c79b-78a4-431d-a088-bdd3aa8b30e7,06 - Attempt,low-hanging fruit,unresolved_tokens,low-hanging
19d05c4b-83ea-4cb6-9b6a-ec882a726f32,07 - Family,close-knit family,unresolved_tokens,close-knit
f024f141-b4d2-4f6a-88d8-c9a4985627bd,07 - Family,take offence at sth,unresolved_tokens,offence
2eff929b-a11f-4f11-8baa-7938c33201b7,05 - Cause and Effect,minimise the impact of something,unresolved_tokens,minimise
da0eb105-422c-4f14-a7a9-0725b166c351,04 - Success and Failure,is the be-all and end-all (of something),unresolved_tokens,"be-all, end-all"
c9fbb81a-ec76-404e-ab93-d4efaa1fe1da,05 - Cause and Effect,far-reaching implications,unresolved_tokens,far-reaching
edbe5cfb-8e08-4818-b509-a2317db58ed4,05 - Cause and Effect,far-reaching consequences,unresolved_tokens,far-reaching
b5593a44-8710-43fd-82ba-f3957731155b,07 - Family,red-letter day,unresolved_tokens,red-letter
f73210e4-1603-49b0-9f0b-797349153a4b,07 - Family,be(as)thickas thieves,unresolved_tokens,thickas
17bec349-9114-4836-b760-dbf30cbb2f0b,08 - Relationships,fair-weather friend,unresolved_tokens,fair-weather
a6ec879d-5205-439b-9992-e83e52e0ab51,08 - Relationships,heart-to-heart talk,unresolved_tokens,heart-to-heart
fc27bf78-7e98-464f-9e8e-2ae266989fbf,07 - Family,kith and kin,unresolved_tokens,kith
1c8b731e-cfa1-469b-829c-8aac01e56c6a,08 - Relationships,on-off relationship,unresolved_tokens,on-off
1c5c3278-4233-420d-946f-640fd93d7f97,08 - Relationships,footloose and fancy-free,unresolved_tokens,fancy-free
e726311d-fcb9-4703-90eb-11e0b1aa74e5,08 - Relationships,rub sbup the wrong way,unresolved_tokens,sbup
6c4e61cc-424c-4981-ad15-99e246841e8d,08 - Relationships,two-time sb,unresolved_tokens,two-time
c7296950-06dc-4850-97ac-4f4945550606,08 - Relationships,be tongue-tied,unresolved_tokens,tongue-tied
93e92fc4-16d9-4cb4-84b6-c89439a8c01b,08 - Relationships,become tongue-tied,unresolved_tokens,tongue-tied
836a3566-a5f2-47ea-99cd-0dcb6bb25a2a,09 - Social Issues,live on the breadline,unresolved_tokens,breadline
edd30fbe-c50c-40ac-b868-866f1d249a74,10 - Agree and Disagree,a head-on clash,unresolved_tokens,head-on
8ef5e635-cb0f-42f5-812c-4f1a773e81bf,10 - Agree and Disagree,getinto an argument,unresolved_tokens,getinto
ad8e3c2d-de38-4849-a29a-d5130ae05803,11 - Praise and Criticism,ripsomeone to shreds,unresolved_tokens,ripsomeone
1f0feaeb-2b70-44fa-a530-7ad7ba56e3af,12 - Advice and Warning,putyour money where your mouth is,unresolved_tokens,putyour
1251c99a-4081-4e96-a475-3fbda6e5b0f3,"13 - Appearance, Character and Behavior",upturned nose,unresolved_tokens,upturned
6b1d47b6-e929-4a0d-a0ab-f9e590c83264,"13 - Appearance, Character and Behavior",pent-up anger,unresolved_tokens,pent-up
585d19e5-4515-4e45-9b6b-4f55473f8327,"13 - Appearance, Character and Behavior",a razor-sharp mind,unresolved_tokens,razor-sharp
55f66fe8-9226-4404-87ab-015cbcff2a96,"13 - Appearance, Character and Behavior",hurt others'feelings,unresolved_tokens,others'feelings
892b81d3-843c-45a4-a4d4-745dc9c5b042,"13 - Appearance, Character and Behavior",a whizz kid,unresolved_tokens,whizz
3f835c1f-3784-49a6-a26e-9c3698befb3f,"13 - Appearance, Character and Behavior",get-up-and-go,unresolved_tokens,get-up-and-go
4269b6e8-1efe-4232-8277-877fe77efaed,"13 - Appearance, Character and Behavior",a weather-beaten face,unresolved_tokens,weather-beaten
dcf95343-3f74-440a-9f1d-38a273b9140e,"13 - Appearance, Character and Behavior",be aglutton for punishment,unresolved_tokens,aglutton
20a8b1b4-83b7-447a-88fc-936f0e97d43c,"13 - Appearance, Character and Behavior",by false pretences,unresolved_tokens,pretences
445c9667-fa50-40d5-9545-efbfed1a7573,"13 - Appearance, Character and Behavior",on false pretences,unresolved_tokens,pretences
1dd7aee4-c2bd-44cd-a444-38f6ef7dc62f,"13 - Appearance, Character and Behavior",under false pretences,unresolved_tokens,pretences
f8d8a1c6-0475-40b3-9729-db177a88e7b2,"13 - Appearance, Character and Behavior",show oneselfin one's true colors,unresolved_tokens,oneselfin
b5fe48e4-bdab-41de-9dec-ad272c434680,14 - Parts of the Body,wear your heart on yoursleeve,unresolved_tokens,yoursleeve
93988c23-7604-4969-b890-88e487cfbc82,14 - Parts of the Body,can'tmake head nor of something,unresolved_tokens,can'tmake
8e8e0daf-1209-4885-8e32-d865c3a2f99b,14 - Parts of the Body,can'tmake head ortail of something,unresolved_tokens,"can'tmake, ortail"
e67bbdde-643e-4676-b0c3-8917014f6cde,14 - Parts of the Body,have yourheadscrewed on(the right way),unresolved_tokens,yourheadscrewed
973da65a-c091-4b75-8996-5dfc8f5fb424,14 - Parts of the Body,notharm a hair of somebody's head,unresolved_tokens,notharm
676df3f3-c5d3-4dc8-aa14-a3e96503208c,14 - Parts of the Body,cockan ear at something,unresolved_tokens,cockan
e2526d7d-9e1e-493f-9c08-6e6a84c2c7ec,14 - Parts of the Body,cockan ear at somebody,unresolved_tokens,cockan
29512bb9-0762-4ff7-929d-73a15c36533e,14 - Parts of the Body,cockan eye at something,unresolved_tokens,cockan
a548eeed-7de4-4bc6-9d66-1784164c0bef,14 - Parts of the Body,cockan eye at somebody,unresolved_tokens,cockan
cb076354-928e-4841-9ad0-2132f45076d0,14 - Parts of the Body,"meet somebody's eye(s) meet somebody's gaze,look,etc. Ipeople's eyes meet",unresolved_tokens,Ipeople's
b86647c6-bebd-4c59-af00-ed905c3bb2ff,14 - Parts of the Body,turn a deafear(to somebody),unresolved_tokens,deafear
e46c1f1e-ca52-43fc-9417-7c49931a8570,14 - Parts of the Body,turn a deafear(to something),unresolved_tokens,deafear
e28f9a47-e353-4c53-b39c-7498c35424e1,14 - Parts of the Body,stickyour nose into something,unresolved_tokens,stickyour
5af6155d-4b95-4fb8-ab9c-b663b1151ef2,14 - Parts of the Body,thumbyour nose at someone,unresolved_tokens,thumbyour
6c3cbde2-7c25-4831-aebf-7080b29faed0,14 - Parts of the Body,thumbyour nose at something,unresolved_tokens,thumbyour
2b073799-3545-4915-bb87-9dc44513e0a5,14 - Parts of the Body,out of the mouths of babes (and sucklings),unresolved_tokens,sucklings
ea511a9a-f7e7-4647-b008-943017e98bd7,14 - Parts of the Body,putyour foot in your mouth,unresolved_tokens,putyour
375176d6-a5a4-4e41-a022-fb04205d2309,14 - Parts of the Body,put yourmoney where your mouth is,unresolved_tokens,yourmoney
cc19c0bf-aa44-44c4-836a-f5b660e1e339,14 - Parts of the Body,pull aface(atsomebody),unresolved_tokens,"aface, atsomebody"
07018873-837d-4ee4-9b13-e02a62adae2f,14 - Parts of the Body,make aface(atsomebody),unresolved_tokens,"aface, atsomebody"
b04aebf2-17fc-47d5-b692-24bb4a283da2,14 - Parts of the Body,put on a brave face |puta brave face on something,unresolved_tokens,puta
0458a1a5-cabd-4032-a358-049b27c7555d,14 - Parts of the Body,have got somebody underyour skin,unresolved_tokens,underyour
9023e413-fb52-4682-8de2-991799bfd8a4,14 - Parts of the Body,make somebody's hair stand onend,unresolved_tokens,onend
d5fa317a-be58-4ac2-bdae-c5d06b8f0a48,14 - Parts of the Body,the devil makes work foridle hands,unresolved_tokens,foridle
17a1b19b-c1e7-4c95-b9bc-208fdb2542d3,14 - Parts of the Body,have time onyour hands|have time to kill,unresolved_tokens,onyour
e344fb80-fd35-4238-89d6-b8278636011e,14 - Parts of the Body,burn your fingers|getyour fingers burnt,unresolved_tokens,getyour
8d666644-72ce-4eac-b667-c59910b80f7c,03 - Starting and Finishing,nail-biting finish,unresolved_tokens,nail-biting
c947158e-c929-408c-b2fe-373c434091e1,03 - Starting and Finishing,wind upa business,unresolved_tokens,upa
226f71cf-f645-4f24-88c8-63baa987c598,03 - Starting and Finishing,wind upa discussion,unresolved_tokens,upa
4787c7c1-db22-4c91-a846-7d7841d98028,03 - Starting and Finishing,wind upa meeting,unresolved_tokens,upa
